model,model_short,run_dir,pooling,selected_condition,layer,mean_absent,mean_condition,mean_delta,ci95_low_delta,ci95_high_delta,paired_p,cohen_d,region,layer_rank_fraction
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,20,0.1544968418039319,0.5539230708963586,0.3994262290924265,0.3505131203077956,0.4459332664480464,7.930638302324224e-33,1.3667426294625156,middle,0.625
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,21,0.14582208355809,0.5917068453513977,0.4458847617933076,0.3951761211621044,0.4992556393100326,2.326989288824028e-35,1.4577842901793792,middle,0.65625
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,22,0.1399304853366201,0.604284597490313,0.4643541121536928,0.4102130624976166,0.5154915367322832,1.019060642059915e-37,1.544501182970604,late,0.6875
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,23,0.138277124578938,0.6152296120692284,0.4769524874902904,0.4292548604743285,0.5254038034000963,1.0172995646740756e-39,1.6196862586861545,late,0.71875
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,24,0.1234366080219798,0.6088251494106656,0.4853885413886857,0.434064384047573,0.5336064970144667,6.087006804454496e-40,1.6281664130457132,late,0.75
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,25,0.1203580970882824,0.6086062195758588,0.4882481224875763,0.4375423547161803,0.5403984301958786,6.96738644343782e-39,1.5880943530658314,late,0.78125
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,26,0.1214050974170145,0.6109884762467556,0.489583378829741,0.4386256523592691,0.539220597558277,1.926199010960755e-38,1.5715093181967807,late,0.8125
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,27,0.1266522986359546,0.6151763592154905,0.4885240605795358,0.4347458689265764,0.5413918341821163,2.564505991546844e-37,1.5296240252502449,late,0.84375
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,28,0.1298616129093628,0.6063408778022897,0.4764792648929268,0.4204650131566989,0.532508143635297,1.045071308291164e-35,1.4704434893492535,late,0.875
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,29,0.1305589852198023,0.5820398138164068,0.4514808285966045,0.3985512422702422,0.5061096240652077,1.1639077568398264e-33,1.3964823431131836,late,0.90625
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,30,0.122540731429122,0.5831854020765044,0.4606446706473822,0.4054324095798444,0.5134305727620728,4.4102783955324085e-34,1.41160209873913,late,0.9375
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,31,0.1419464387455542,0.5538195845880933,0.4118731458425391,0.3553631808464136,0.4696537188639149,8.54534207114002e-29,1.2254877204474792,late,0.96875
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,32,0.1405268012091009,0.6366159431744094,0.4960891419653085,0.4448592047209371,0.5480277223094182,2.400410316807681e-39,1.605556096603047,late,1.0
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model/mistral_indirect_only/mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,0,0.1682911485458732,0.6942216836122261,0.5259305350663528,0.4554391042086156,0.5910188700132701,7.867244932202702e-32,1.3314453728249682,early,0.0
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model/mistral_indirect_only/mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,1,0.1539267765642465,0.6783867008033928,0.5244599242391463,0.4524461283446822,0.5979097537330091,8.799178599680162e-27,1.1563333879277746,early,0.03125
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model/mistral_indirect_only/mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,2,0.1626613053383721,0.5596669903889605,0.3970056850505883,0.3077674005908374,0.4886097103925157,5.387775166041839e-15,0.7555495720721604,early,0.0625
